V1,V2
ENSMUSG00000000088,9377
ENSMUSG00000000168,1737
ENSMUSG00000000171,6392
ENSMUSG00000000295,51020
ENSMUSG00000000308,1159
ENSMUSG00000000308,1159
ENSMUSG00000000326,1312
ENSMUSG00000000340,1629
ENSMUSG00000000384,9238
ENSMUSG00000000399,4704
ENSMUSG00000000563,515
ENSMUSG00000000628,3099
ENSMUSG00000000738,6687
ENSMUSG00000000934,116447
ENSMUSG00000000959,5018
ENSMUSG00000001100,26073
ENSMUSG00000001424,27044
ENSMUSG00000001445,124995
ENSMUSG00000001750,10312
ENSMUSG00000001829,81570
ENSMUSG00000001983,51204
ENSMUSG00000002010,3421
ENSMUSG00000002332,115817
ENSMUSG00000002346,284439
ENSMUSG00000002379,126328
ENSMUSG00000002416,4708
ENSMUSG00000002660,8192
ENSMUSG00000002661,84266
ENSMUSG00000002767,51069
ENSMUSG00000002781,55260
ENSMUSG00000002846,51300
ENSMUSG00000002949,10469
ENSMUSG00000002984,10452
ENSMUSG00000003072,513
ENSMUSG00000003299,51073
ENSMUSG00000003438,92609
ENSMUSG00000003526,102724788
ENSMUSG00000003526,5625
ENSMUSG00000003528,6576
ENSMUSG00000003559,57412
ENSMUSG00000003623,54677
ENSMUSG00000003762,79934
ENSMUSG00000003809,2639
ENSMUSG00000003873,581
ENSMUSG00000003923,7019
ENSMUSG00000003955,26355
ENSMUSG00000004069,9093
ENSMUSG00000004233,10352
ENSMUSG00000004264,11331
ENSMUSG00000004446,637
ENSMUSG00000004561,64745
ENSMUSG00000004610,2109
ENSMUSG00000004748,51537
ENSMUSG00000004771,8766
ENSMUSG00000004789,1743
ENSMUSG00000004902,83733
ENSMUSG00000005161,7001
ENSMUSG00000005299,3954
ENSMUSG00000005354,25828
ENSMUSG00000005474,93408
ENSMUSG00000005510,4722
ENSMUSG00000005667,10797
ENSMUSG00000005674,84134
ENSMUSG00000005683,1431
ENSMUSG00000005803,58472
ENSMUSG00000005882,55245
ENSMUSG00000005981,10131
ENSMUSG00000006057,516
ENSMUSG00000006221,27129
ENSMUSG00000006378,23464
ENSMUSG00000006494,5163
ENSMUSG00000006717,55856
ENSMUSG00000006724,1594
ENSMUSG00000006818,6648
ENSMUSG00000007338,740
ENSMUSG00000007610,84705
ENSMUSG00000007783,126129
ENSMUSG00000007827,22852
ENSMUSG00000008435,112724
ENSMUSG00000008683,6210
ENSMUSG00000008892,7419
ENSMUSG00000009112,23786
ENSMUSG00000009566,2356
ENSMUSG00000009614,1757
ENSMUSG00000009647,90550
ENSMUSG00000009863,6390
ENSMUSG00000009876,84701
ENSMUSG00000010025,224
ENSMUSG00000010097,10482
ENSMUSG00000010406,122704
ENSMUSG00000010651,30
ENSMUSG00000010914,8050
ENSMUSG00000011254,54974
ENSMUSG00000011486,284427
ENSMUSG00000013593,4720
ENSMUSG00000013662,84896
ENSMUSG00000013701,100287932
ENSMUSG00000013701,100652748
ENSMUSG00000013736,51095
ENSMUSG00000013997,4817
ENSMUSG00000014294,4695
ENSMUSG00000014301,51025
ENSMUSG00000014313,1345
ENSMUSG00000014551,64432
ENSMUSG00000014554,1716
ENSMUSG00000014606,8402
ENSMUSG00000015016,197322
ENSMUSG00000015112,10165
ENSMUSG00000015242,25934
ENSMUSG00000015337,2021
ENSMUSG00000015357,10845
ENSMUSG00000015672,64983
ENSMUSG00000015790,6834
ENSMUSG00000015806,5860
ENSMUSG00000015943,51027
ENSMUSG00000015970,55349
ENSMUSG00000016252,514
ENSMUSG00000016257,51012
ENSMUSG00000016319,292
ENSMUSG00000016427,4694
ENSMUSG00000016495,55848
ENSMUSG00000016510,219402
ENSMUSG00000016833,51023
ENSMUSG00000017286,51031
ENSMUSG00000017686,55288
ENSMUSG00000017715,9489
ENSMUSG00000017778,1350
ENSMUSG00000018196,51022
ENSMUSG00000018322,10953
ENSMUSG00000018405,79922
ENSMUSG00000018428,8165
ENSMUSG00000018446,708
ENSMUSG00000018574,37
ENSMUSG00000018677,51629
ENSMUSG00000018740,399512
ENSMUSG00000018770,518
ENSMUSG00000018796,2180
ENSMUSG00000018848,5917
ENSMUSG00000018858,3396
ENSMUSG00000018861,2232
ENSMUSG00000018882,84311
ENSMUSG00000018995,79731
ENSMUSG00000019054,51024
ENSMUSG00000019066,9545
ENSMUSG00000019082,79751
ENSMUSG00000019143,23438
