V1,V2
ENSMUSG00000064370,4519
ENSMUSG00000064368,4541
ENSMUSG00000064367,4540
ENSMUSG00000064363,4538
ENSMUSG00000065947,4539
ENSMUSG00000064360,4537
ENSMUSG00000064358,4514
ENSMUSG00000064357,4508
ENSMUSG00000064354,4513
ENSMUSG00000064351,4512
ENSMUSG00000064345,4536
ENSMUSG00000064341,4535
ENSMUSG00000009281,5919
ENSMUSG00000035125,6936
ENSMUSG00000030324,6010
ENSMUSG00000032548,6578
ENSMUSG00000030159,51266
ENSMUSG00000053470,55818
ENSMUSG00000041729,10391
ENSMUSG00000088146,677679
ENSMUSG00000030075,5067
ENSMUSG00000039358,1816
ENSMUSG00000048489,11067
ENSMUSG00000071356,130120
ENSMUSG00000071356,5068
ENSMUSG00000045441,285513
ENSMUSG00000048108,643236
ENSMUSG00000075703,85465
ENSMUSG00000046080,283420
ENSMUSG00000035847,3423
ENSMUSG00000038759,23165
ENSMUSG00000031425,5354
ENSMUSG00000025626,84295
ENSMUSG00000015405,59272
ENSMUSG00000024306,374864
ENSMUSG00000047879,9097
ENSMUSG00000029245,2044
ENSMUSG00000009112,23786
ENSMUSG00000041012,152189
ENSMUSG00000036760,51305
ENSMUSG00000077199,677804
ENSMUSG00000047264,140467
ENSMUSG00000039496,441549
ENSMUSG00000021999,1361
ENSMUSG00000049511,3351
ENSMUSG00000053391,79290
ENSMUSG00000060257,85508
ENSMUSG00000093645,692201
ENSMUSG00000068806,283093
ENSMUSG00000068732,56900
ENSMUSG00000043881,84078
ENSMUSG00000046034,90268
ENSMUSG00000063583,219952
ENSMUSG00000032864,5897
ENSMUSG00000071757,22882
ENSMUSG00000061615,3012
ENSMUSG00000048581,285315
ENSMUSG00000049620,260429
ENSMUSG00000032911,1464
ENSMUSG00000032094,915
ENSMUSG00000090314,100129271
ENSMUSG00000004730,2015
ENSMUSG00000062309,54913
ENSMUSG00000055239,56888
ENSMUSG00000021730,348980
ENSMUSG00000031538,5327
ENSMUSG00000067818,10398
ENSMUSG00000061802,55130
ENSMUSG00000054325,353143
ENSMUSG00000016982,94026
ENSMUSG00000080408,100302223
ENSMUSG00000040722,192683
ENSMUSG00000031546,84296
ENSMUSG00000010660,5333
ENSMUSG00000022360,29028
ENSMUSG00000022951,1827
ENSMUSG00000038567,1591
ENSMUSG00000090083,9025
ENSMUSG00000072964,80823
ENSMUSG00000022012,55068
ENSMUSG00000027962,7412
ENSMUSG00000032221,55329
ENSMUSG00000072944,54830
ENSMUSG00000023923,9779
ENSMUSG00000030110,5979
ENSMUSG00000043164,389177
ENSMUSG00000038997,127247
ENSMUSG00000055991,23660
ENSMUSG00000029320,132989
ENSMUSG00000009614,1757
ENSMUSG00000027165,119710
ENSMUSG00000037287,219899
ENSMUSG00000075284,7456
ENSMUSG00000025995,84128
ENSMUSG00000030116,8076
ENSMUSG00000037643,5584
ENSMUSG00000037712,10979
ENSMUSG00000022051,665
ENSMUSG00000023393,63910
ENSMUSG00000037031,23555
ENSMUSG00000005958,2049
ENSMUSG00000041684,54841
ENSMUSG00000019791,135114
ENSMUSG00000026082,51455
ENSMUSG00000031696,55737
ENSMUSG00000010311,26254
ENSMUSG00000029826,56829
ENSMUSG00000036815,57628
ENSMUSG00000036330,6570
ENSMUSG00000053646,5364
ENSMUSG00000026649,257177
ENSMUSG00000048031,83416
ENSMUSG00000031111,3547
ENSMUSG00000000568,3184
ENSMUSG00000027347,10125
ENSMUSG00000031644,4750
ENSMUSG00000060961,8671
ENSMUSG00000021228,10965
ENSMUSG00000021228,641371
ENSMUSG00000043673,3790
ENSMUSG00000036225,284252
ENSMUSG00000021922,3700
ENSMUSG00000038346,171017
ENSMUSG00000064115,253559
ENSMUSG00000041073,23148
ENSMUSG00000024799,7108
ENSMUSG00000067889,6712
ENSMUSG00000088219,116937
ENSMUSG00000038403,148738
ENSMUSG00000048185,9616
ENSMUSG00000048304,22865
ENSMUSG00000026655,83641
ENSMUSG00000021388,54829
ENSMUSG00000035686,7069
ENSMUSG00000053395,59283
ENSMUSG00000057322,6169
ENSMUSG00000003363,23646
ENSMUSG00000043924,400746
ENSMUSG00000017639,84440
ENSMUSG00000017376,51701
ENSMUSG00000030397,57787
ENSMUSG00000041329,482
ENSMUSG00000039202,11057
ENSMUSG00000025510,977
ENSMUSG00000047002,343930
ENSMUSG00000036244,161514
ENSMUSG00000031059,54539
ENSMUSG00000041468,2835
ENSMUSG00000069267,653604
ENSMUSG00000069267,126961
ENSMUSG00000078485,84069
ENSMUSG00000000686,116236
ENSMUSG00000020267,3094
ENSMUSG00000007617,9456
ENSMUSG00000028488,6456
ENSMUSG00000037552,64857
ENSMUSG00000040183,22881
ENSMUSG00000040028,1994
ENSMUSG00000021243,51077
ENSMUSG00000024063,81606
ENSMUSG00000088956,684959
ENSMUSG00000065899,26775
ENSMUSG00000069266,8361
ENSMUSG00000077767,677816
ENSMUSG00000041261,767
ENSMUSG00000080538,100151684
ENSMUSG00000038299,134430
ENSMUSG00000061911,23040
ENSMUSG00000054520,6452
ENSMUSG00000028883,10371
ENSMUSG00000032487,5743
ENSMUSG00000065232,6066
ENSMUSG00000055561,11005
ENSMUSG00000042293,54494
ENSMUSG00000042293,54494
ENSMUSG00000050953,2697
ENSMUSG00000021731,10884
ENSMUSG00000064663,101954275
ENSMUSG00000070923,55958
ENSMUSG00000039714,594855
ENSMUSG00000077734,116938
ENSMUSG00000088529,677781
ENSMUSG00000077704,692205
ENSMUSG00000074220,84911
ENSMUSG00000089517,767569
ENSMUSG00000057729,5657
ENSMUSG00000077772,100033426
ENSMUSG00000077772,100033425
ENSMUSG00000077772,100033430
ENSMUSG00000077772,100033427
ENSMUSG00000077772,100033423
ENSMUSG00000077772,100033428
ENSMUSG00000077772,100033434
ENSMUSG00000077772,100033435
ENSMUSG00000077772,100033424
ENSMUSG00000077772,100033422
ENSMUSG00000077772,100033433
ENSMUSG00000006715,51053
ENSMUSG00000037152,4717
ENSMUSG00000030471,54503
ENSMUSG00000029201,7358
ENSMUSG00000077769,677812
ENSMUSG00000045620,161753
ENSMUSG00000019857,25842
ENSMUSG00000068579,6130
ENSMUSG00000069584,353332
ENSMUSG00000069584,386683
ENSMUSG00000069584,353323
ENSMUSG00000038805,6496
ENSMUSG00000022982,6647
ENSMUSG00000043110,164312
ENSMUSG00000055416,84908
ENSMUSG00000084708,652965
ENSMUSG00000053765,4938
ENSMUSG00000025255,79776
ENSMUSG00000062226,340168
ENSMUSG00000065295,26815
ENSMUSG00000084517,26782
ENSMUSG00000087881,677763
ENSMUSG00000013415,10642
ENSMUSG00000028532,57685
ENSMUSG00000078815,59285
ENSMUSG00000025909,54212
ENSMUSG00000064427,100302743
ENSMUSG00000045912,126567
ENSMUSG00000065734,26800
ENSMUSG00000093626,101928108
ENSMUSG00000064717,727676
ENSMUSG00000032056,54766
ENSMUSG00000022205,10923
ENSMUSG00000066407,6234
ENSMUSG00000065037,125050
ENSMUSG00000039639,3753
ENSMUSG00000039639,102723475
ENSMUSG00000065676,26808
ENSMUSG00000020100,55315
ENSMUSG00000038539,22809
ENSMUSG00000088184,100302741
ENSMUSG00000090987,10189
ENSMUSG00000004565,10908
ENSMUSG00000034263,81556
ENSMUSG00000065176,267010
ENSMUSG00000008789,1089
ENSMUSG00000008789,1084
ENSMUSG00000008789,90273
ENSMUSG00000003348,126308
ENSMUSG00000037005,7512
ENSMUSG00000035296,6445
ENSMUSG00000024160,90864
ENSMUSG00000041263,23623
ENSMUSG00000040998,255743
ENSMUSG00000065642,26779
ENSMUSG00000043487,641372
ENSMUSG00000056946,390093
ENSMUSG00000056946,26496
ENSMUSG00000091844,643677
ENSMUSG00000048965,116534
ENSMUSG00000043301,3763
ENSMUSG00000056069,54491
ENSMUSG00000027134,254531
ENSMUSG00000045896,400961
ENSMUSG00000020128,51542
ENSMUSG00000028782,576
ENSMUSG00000019787,10345
ENSMUSG00000065463,692085
ENSMUSG00000091732,6142
ENSMUSG00000065822,6079
ENSMUSG00000077337,677809
ENSMUSG00000050490,5686
ENSMUSG00000062175,60436
ENSMUSG00000002249,7005
ENSMUSG00000035835,79948
ENSMUSG00000038650,6050
ENSMUSG00000065258,26820
ENSMUSG00000070063,594839
ENSMUSG00000045493,128408
ENSMUSG00000004897,3068
ENSMUSG00000059301,140739
ENSMUSG00000064837,654321
ENSMUSG00000051243,57611
ENSMUSG00000007812,79027
ENSMUSG00000071708,6611
ENSMUSG00000015189,64921
ENSMUSG00000059479,374907
ENSMUSG00000021732,2255
ENSMUSG00000047370,283991
ENSMUSG00000034789,53917
ENSMUSG00000039813,55357
ENSMUSG00000064725,692226
ENSMUSG00000064725,619571
ENSMUSG00000036835,55851
ENSMUSG00000054594,126014
ENSMUSG00000064961,677794
ENSMUSG00000065825,100873746
ENSMUSG00000090460,6176
ENSMUSG00000030045,9801
ENSMUSG00000072511,10086
ENSMUSG00000064489,101954278
ENSMUSG00000019850,7128
ENSMUSG00000022816,11167
ENSMUSG00000022867,29761
ENSMUSG00000060765,127074
ENSMUSG00000060765,401993
ENSMUSG00000060765,343563
ENSMUSG00000038187,84280
ENSMUSG00000058704,51072
ENSMUSG00000033701,84320
ENSMUSG00000063047,339327
ENSMUSG00000005338,57863
ENSMUSG00000051727,65987
ENSMUSG00000021957,7086
ENSMUSG00000065266,692073
ENSMUSG00000080365,677845
ENSMUSG00000037664,1028
ENSMUSG00000000594,2760
ENSMUSG00000002565,85477
ENSMUSG00000042988,147111
ENSMUSG00000034785,1733
ENSMUSG00000077571,677818
ENSMUSG00000029507,80324
ENSMUSG00000004902,83733
ENSMUSG00000033166,22894
ENSMUSG00000034009,59350
ENSMUSG00000061028,11129
ENSMUSG00000039179,146279
ENSMUSG00000059248,10801
ENSMUSG00000025340,27342
ENSMUSG00000020459,4528
ENSMUSG00000042350,9870
ENSMUSG00000020176,2887
ENSMUSG00000077167,677832
ENSMUSG00000077714,692086
ENSMUSG00000080474,100422919
ENSMUSG00000080474,100422834
ENSMUSG00000080474,100422831
ENSMUSG00000080474,100302278
ENSMUSG00000080474,100302128
ENSMUSG00000052336,1524
ENSMUSG00000033965,6567
ENSMUSG00000045648,402117
ENSMUSG00000053310,4900
ENSMUSG00000065097,692157
ENSMUSG00000080610,692213
ENSMUSG00000064696,6082
ENSMUSG00000049741,339403
ENSMUSG00000075053,7419
ENSMUSG00000065118,677833
ENSMUSG00000038848,54915
ENSMUSG00000064823,25826
ENSMUSG00000069265,8358
ENSMUSG00000031584,2936
ENSMUSG00000022570,7264
ENSMUSG00000088789,677768
ENSMUSG00000056366,2170
ENSMUSG00000035711,79930
ENSMUSG00000045948,6183
ENSMUSG00000026698,5279
ENSMUSG00000002477,6632
ENSMUSG00000060802,567
ENSMUSG00000003546,89953
ENSMUSG00000048279,26278
ENSMUSG00000027356,55612
ENSMUSG00000025453,23530
ENSMUSG00000061619,203547
ENSMUSG00000013662,84896
ENSMUSG00000064452,767566
ENSMUSG00000025236,83440
ENSMUSG00000032802,140809
ENSMUSG00000034875,390916
ENSMUSG00000050276,386746
ENSMUSG00000065757,767582
ENSMUSG00000088445,677773
ENSMUSG00000065291,100873750
ENSMUSG00000040605,25825
ENSMUSG00000059898,1825
ENSMUSG00000035004,10261
ENSMUSG00000064726,767579
ENSMUSG00000064726,767595
ENSMUSG00000023403,56164
ENSMUSG00000065878,26817
ENSMUSG00000054469,253558
ENSMUSG00000056215,136332
ENSMUSG00000029925,6916
ENSMUSG00000080486,594838
ENSMUSG00000003226,5903
ENSMUSG00000074141,259307
ENSMUSG00000033508,151516
ENSMUSG00000059857,22854
ENSMUSG00000052395,91869
ENSMUSG00000084487,767592
ENSMUSG00000021686,8546
